Sexe,Statut_marital,Niveau_education,Type_emploi,Age,Annees_emploi,Revenu_annuel,Note_credit,Ratio_dette_revenu,Montant_pret_demande,Nombre_prets_en_cours,Solvable
Homme,Veuf,Sans diplôme,CDD,57,18.34,111988.79,759,0.86,36992.12,4,0
Femme,Veuf,Master,Indépendant,56,3.26,53387.81,599,0.11,42207.91,4,0
Homme,Veuf,Master,CDI,57,26.44,79707.53,379,0.73,46631.14,2,1
Femme,Divorcé,Doctorat,CDI,18,28.67,118425.08,684,0.46,41665.87,4,1
Femme,Veuf,Bachelier,CDD,27,18.69,44922.79,802,0.52,48302.49,2,0
Autre,Divorcé,Secondaire,CDD,29,28.12,86164.05,461,0.28,47743.76,0,1
Homme,Veuf,Bachelier,Sans emploi,62,15.84,105760.15,473,0.27,19443.28,2,0
Autre,Célibataire,Secondaire,Sans emploi,35,36.03,35398.66,381,0.19,22653.82,0,1
Homme,Célibataire,Secondaire,CDI,54,30.82,21856.83,721,0.37,30884.26,1,1
Autre,Marié,Doctorat,CDI,59,11.17,65937.15,469,0.24,36074.58,1,1
Homme,Célibataire,Bachelier,CDI,65,18.89,113474.34,594,0.19,25911.76,2,1
Autre,Veuf,Master,Sans emploi,23,28.89,105723.28,335,0.96,40449.61,1,1
Homme,Divorcé,Sans diplôme,Indépendant,59,21.37,33884.94,605,0.45,33440.31,2,1
Homme,Divorcé,Doctorat,CDD,66,20.8,113957.1,509,0.68,31814.16,4,0
Homme,Veuf,Doctorat,CDI,56,33.7,54126.46,827,0.37,11542.78,4,1
Homme,Divorcé,Doctorat,Sans emploi,54,26.11,104056.87,354,0.57,12709.15,1,0
Femme,Marié,Master,Sans emploi,22,37.62,21748.08,645,0.5,19097.93,1,1
Autre,Célibataire,Sans diplôme,CDD,67,10.86,55382.48,628,0.61,48311.38,2,1
Homme,Veuf,Secondaire,Indépendant,29,3.99,69764.84,443,0.72,8429.47,0,0
Homme,Célibataire,Master,CDI,57,7.44,76018.31,539,0.66,48211.31,0,1
Femme,Célibataire,Bachelier,CDD,47,7.59,108366.61,422,0.76,26469.83,3,1
Autre,Veuf,Bachelier,Sans emploi,61,22.17,45275.77,663,0.15,24618.26,1,0
Femme,Veuf,Master,Indépendant,63,20.48,24599.33,591,0.09,43109.59,1,0
Homme,Célibataire,Doctorat,CDI,29,23.76,62000.77,408,0.34,42416.43,2,1
Homme,Veuf,Master,Sans emploi,60,8.04,19907.42,392,0.48,11029.28,1,0
Homme,Célibataire,Sans diplôme,Sans emploi,50,9.57,102774.34,839,0.22,41528.5,2,1
Homme,Célibataire,Secondaire,CDD,19,2.28,68118.17,553,0.77,27981.65,1,0
Homme,Célibataire,Secondaire,Sans emploi,62,1.01,35187.52,469,0.72,19540.72,2,1
Femme,Veuf,Secondaire,CDI,65,14.22,24373.98,542,0.91,9877.07,0,0
Homme,Veuf,Secondaire,Sans emploi,52,29.85,75018.98,814,0.73,31650.25,4,0
Autre,Marié,Doctorat,CDD,60,28.0,92684.26,442,0.11,40114.92,4,1
Autre,Célibataire,Bachelier,CDD,60,26.61,52577.39,580,0.66,44855.35,1,0
Autre,Célibataire,Bachelier,Indépendant,62,0.86,95867.54,790,0.41,48722.86,0,1
Homme,Célibataire,Master,Indépendant,28,37.94,84171.58,319,0.26,10543.48,4,0
Homme,Marié,Secondaire,Sans emploi,60,13.62,15472.02,399,0.6,22855.28,4,1
Autre,Célibataire,Bachelier,Sans emploi,58,17.36,89161.9,423,0.3,7190.44,2,1
Homme,Marié,Sans diplôme,Sans emploi,64,32.05,73222.72,591,0.53,33608.48,4,1
Autre,Marié,Master,Indépendant,57,3.66,111011.46,518,0.58,44945.13,1,1
Autre,Veuf,Doctorat,Indépendant,33,7.07,20291.2,504,0.53,35926.84,0,1
Homme,Marié,Bachelier,Sans emploi,63,13.02,29268.56,724,0.01,22491.91,2,1
Femme,Veuf,Secondaire,Indépendant,44,33.74,83074.27,401,0.35,39196.57,3,1
Femme,Divorcé,Doctorat,CDD,59,27.43,103868.61,315,0.79,49847.58,1,0
Femme,Célibataire,Sans diplôme,Indépendant,58,14.34,32927.57,450,0.35,5050.49,2,1
Homme,Divorcé,Sans diplôme,CDD,62,37.33,114321.07,423,0.51,42262.51,2,1
Homme,Célibataire,Sans diplôme,Sans emploi,66,31.35,107613.69,303,0.35,19682.22,3,1
Femme,Marié,Doctorat,CDD,34,0.42,20875.9,517,0.2,38617.99,0,1
Homme,Veuf,Bachelier,CDI,61,18.01,113973.98,358,0.2,15666.84,3,1
Homme,Marié,Bachelier,Sans emploi,46,17.0,36550.1,537,0.75,14081.92,3,0
Femme,Célibataire,Secondaire,CDD,18,9.42,78910.24,488,0.63,41431.92,1,1
Autre,Célibataire,Doctorat,CDD,62,11.27,86450.24,579,0.93,39532.47,1,1
Autre,Marié,Bachelier,Indépendant,20,27.31,46351.52,714,0.42,41504.92,4,1
Homme,Célibataire,Master,CDD,40,9.62,16815.02,699,0.64,39080.31,2,1
Autre,Célibataire,Secondaire,Indépendant,42,29.61,84529.1,763,0.47,9313.79,1,1
Femme,Divorcé,Bachelier,CDD,62,18.78,23404.61,582,0.47,44729.53,2,1
Femme,Marié,Master,CDD,37,3.19,13397.51,772,0.85,21992.79,3,1
Autre,Divorcé,Secondaire,Indépendant,48,16.26,92171.57,731,0.45,14884.9,1,0
Femme,Marié,Sans diplôme,CDI,31,31.66,22190.59,617,0.93,30540.51,1,1
Autre,Divorcé,Sans diplôme,CDD,25,5.17,99228.36,302,0.62,20563.91,3,0
Autre,Veuf,Master,CDD,37,20.11,118798.67,501,0.09,36944.14,2,0
Femme,Célibataire,Sans diplôme,Sans emploi,53,7.45,54405.13,677,0.07,36257.84,2,1
Autre,Célibataire,Master,Indépendant,47,37.05,81062.47,760,0.98,43254.84,0,1
Homme,Marié,Secondaire,Indépendant,38,21.94,112293.42,329,0.4,49710.14,0,1
Homme,Marié,Bachelier,CDI,26,6.61,110858.6,308,0.59,40980.38,0,1
Autre,Marié,Secondaire,Sans emploi,28,22.36,44413.59,384,0.43,11369.7,2,1
Femme,Divorcé,Master,CDI,59,38.34,12987.53,357,0.16,39318.93,3,1
Femme,Marié,Doctorat,CDI,52,33.19,41652.16,456,0.13,30510.48,4,0
Autre,Célibataire,Doctorat,CDD,64,13.6,30446.55,719,0.21,30343.16,4,1
Autre,Marié,Master,CDD,29,29.74,49143.42,556,0.61,20176.05,4,1
Femme,Célibataire,Sans diplôme,Indépendant,26,27.46,41250.55,543,0.55,12232.98,1,0
Homme,Divorcé,Master,Sans emploi,39,29.93,102735.04,687,0.33,12787.34,4,1
Autre,Célibataire,Bachelier,Indépendant,22,19.34,67690.91,410,0.04,7591.98,4,1
Homme,Veuf,Secondaire,Sans emploi,65,36.76,24233.37,621,0.32,41240.74,3,1
Autre,Célibataire,Master,Indépendant,25,14.9,52434.72,709,0.4,38477.68,0,1
Homme,Veuf,Bachelier,CDI,39,38.5,83254.29,696,0.76,43552.79,3,0
Autre,Divorcé,Doctorat,CDI,40,4.9,107128.31,374,0.74,36686.44,1,0
Femme,Célibataire,Master,CDI,24,37.3,60730.43,796,0.22,12550.37,0,0
Autre,Divorcé,Sans diplôme,CDD,37,30.49,110996.12,706,0.23,38118.16,2,1
Femme,Divorcé,Master,Sans emploi,61,38.21,97595.84,615,0.63,30103.34,2,1
Homme,Veuf,Doctorat,Sans emploi,24,22.15,18345.05,356,0.65,9890.28,1,0
Femme,Divorcé,Bachelier,CDD,50,37.47,99414.23,350,0.56,45730.51,3,0
Femme,Célibataire,Master,Sans emploi,55,6.78,20066.16,411,0.11,45604.27,3,1
Autre,Veuf,Master,Indépendant,40,1.2,110673.78,588,0.29,33253.89,2,1
Autre,Divorcé,Sans diplôme,CDI,59,28.03,88961.97,757,0.03,23883.85,3,1
Homme,Marié,Master,CDD,39,34.54,35628.99,415,0.76,15706.58,2,0
Femme,Veuf,Secondaire,CDI,29,35.88,28591.25,525,0.81,9392.02,3,1
Homme,Célibataire,Master,Sans emploi,61,2.46,60560.31,591,0.92,41269.98,1,1
Homme,Célibataire,Bachelier,CDD,21,14.13,81465.89,789,0.09,48503.89,3,0
Homme,Marié,Secondaire,Sans emploi,50,17.77,32394.41,817,0.91,5631.83,3,0
Autre,Veuf,Sans diplôme,CDI,47,37.05,115282.19,522,0.92,26571.26,3,1
Homme,Marié,Bachelier,Sans emploi,39,11.72,26376.05,471,1.0,9771.61,4,1
Femme,Veuf,Sans diplôme,CDD,35,27.54,104602.24,397,0.78,23834.26,4,1
Homme,Veuf,Master,Sans emploi,23,8.8,38764.99,584,0.26,31127.58,2,1
Autre,Marié,Master,CDD,65,24.51,15012.74,693,0.26,24309.53,1,0
Femme,Marié,Master,CDD,45,4.52,76424.92,401,0.69,5775.06,1,1
Homme,Veuf,Doctorat,CDD,19,30.18,57895.23,409,0.68,49453.01,4,1
Femme,Divorcé,Doctorat,Indépendant,51,1.78,43490.53,394,0.66,46661.19,2,1
Autre,Veuf,Doctorat,Sans emploi,58,39.93,45228.48,779,0.35,39756.79,1,1
Homme,Célibataire,Secondaire,Sans emploi,61,32.06,84649.33,357,0.52,23030.64,1,1
Homme,Célibataire,Doctorat,CDI,57,24.51,61868.82,749,0.3,36027.06,3,0
Homme,Marié,Master,CDD,61,30.74,64582.4,446,0.6,36939.58,4,1
Autre,Veuf,Master,CDD,69,0.12,15728.16,483,0.77,20311.46,1,0
Femme,Divorcé,Sans diplôme,CDI,55,17.14,86956.65,466,0.7,6785.89,4,0
Homme,Divorcé,Bachelier,Sans emploi,48,23.74,66671.12,455,0.43,33004.15,3,1
Homme,Marié,Bachelier,Sans emploi,36,39.05,97503.71,563,0.52,47663.77,4,1
Homme,Marié,Secondaire,Sans emploi,33,14.63,69743.43,547,0.77,38650.43,3,0
Homme,Marié,Bachelier,CDD,69,38.82,38468.79,791,0.23,15259.43,1,1
Femme,Marié,Secondaire,CDD,63,20.62,23883.14,418,0.22,30011.46,0,1
Autre,Divorcé,Sans diplôme,CDI,58,2.78,66306.67,546,0.48,22559.66,1,0
Autre,Célibataire,Master,Indépendant,47,24.66,114977.78,524,0.49,29592.52,1,0
Femme,Divorcé,Master,Indépendant,22,32.88,30001.98,388,0.02,37582.68,3,1
Homme,Célibataire,Secondaire,CDD,66,35.49,75854.92,659,0.58,26902.27,1,0
Femme,Célibataire,Doctorat,Sans emploi,60,21.15,73385.5,737,0.42,46054.23,4,0
Femme,Célibataire,Sans diplôme,Sans emploi,38,17.79,40415.81,461,0.58,36145.16,1,1
Femme,Divorcé,Master,Indépendant,34,25.52,97757.1,730,0.91,20854.35,4,0
Femme,Veuf,Master,Sans emploi,39,2.5,86676.16,562,0.33,32555.02,0,1
Femme,Marié,Sans diplôme,Indépendant,20,37.67,66207.62,531,0.11,25491.95,4,0
Femme,Marié,Secondaire,CDD,38,9.6,78596.21,448,0.21,40641.39,4,1
Autre,Veuf,Doctorat,CDD,63,25.09,81147.42,848,0.31,5335.23,3,0
Autre,Divorcé,Secondaire,Sans emploi,42,24.14,115581.61,660,0.86,31350.45,3,1
Femme,Divorcé,Sans diplôme,Sans emploi,61,28.87,32296.22,469,0.55,6057.11,3,0
Femme,Veuf,Bachelier,Indépendant,38,34.14,70429.41,819,1.0,49070.05,4,1
Femme,Célibataire,Secondaire,Sans emploi,63,10.11,102729.18,372,0.29,27838.96,1,0
Autre,Divorcé,Bachelier,CDD,33,8.28,23142.05,738,0.07,17545.98,3,1
Homme,Célibataire,Sans diplôme,Sans emploi,51,29.85,118918.48,739,0.3,9981.48,1,1
Homme,Divorcé,Bachelier,Sans emploi,42,7.46,93557.41,571,0.99,20376.28,1,1
Homme,Veuf,Master,Sans emploi,42,38.24,37338.3,517,0.74,33533.56,1,1
Femme,Marié,Bachelier,CDD,58,7.89,117225.21,726,0.92,48779.97,3,1
Homme,Marié,Doctorat,Sans emploi,45,21.06,35134.59,845,0.59,9248.02,1,0
Femme,Marié,Doctorat,Indépendant,21,26.25,104926.76,466,0.28,14460.66,0,0
Homme,Divorcé,Sans diplôme,CDI,37,6.83,37121.35,586,0.95,17462.45,4,1
Autre,Veuf,Doctorat,Indépendant,30,15.44,100035.49,597,0.23,39470.19,3,1
Autre,Célibataire,Bachelier,Indépendant,68,31.16,45938.36,633,0.4,8553.8,2,1
Femme,Marié,Master,Indépendant,62,12.01,119581.86,770,0.29,45247.88,1,1
Homme,Célibataire,Sans diplôme,CDD,28,13.77,99645.82,664,0.64,14854.41,4,1
Homme,Marié,Secondaire,Indépendant,27,8.16,38012.98,568,0.42,37311.24,2,1
Homme,Célibataire,Master,Sans emploi,46,30.34,93727.55,362,0.96,39224.83,2,1
Homme,Divorcé,Secondaire,CDD,64,9.58,73110.13,782,0.97,45188.77,4,1
Homme,Divorcé,Sans diplôme,CDI,49,10.83,35571.73,811,0.1,14339.25,0,1
Autre,Célibataire,Secondaire,Indépendant,41,19.64,22746.74,661,0.93,37547.05,4,1
Femme,Divorcé,Master,CDI,31,7.67,58847.42,653,0.8,20888.42,1,1
Homme,Célibataire,Doctorat,Sans emploi,23,9.18,28349.25,631,0.71,22472.92,1,1
Autre,Divorcé,Sans diplôme,Sans emploi,63,37.05,102637.73,548,0.36,27874.04,1,1
Homme,Divorcé,Doctorat,Indépendant,58,32.08,45412.52,481,0.68,10902.82,2,1
Autre,Célibataire,Doctorat,Sans emploi,25,10.74,27429.6,750,0.81,21142.6,3,1
Femme,Marié,Doctorat,Sans emploi,59,27.96,89359.29,366,0.83,47322.02,0,1
Homme,Marié,Master,Sans emploi,64,14.57,36726.93,364,0.81,13128.29,4,1
Homme,Veuf,Bachelier,CDD,34,17.0,85362.05,635,0.32,19182.38,2,0
Autre,Veuf,Doctorat,CDI,68,28.23,53934.31,797,0.19,41327.53,1,1
Femme,Marié,Bachelier,Indépendant,57,32.22,52800.04,815,0.54,16249.04,4,0
Autre,Célibataire,Sans diplôme,CDI,53,10.54,21426.2,665,0.25,12415.57,0,1
Autre,Veuf,Secondaire,CDD,60,6.95,10145.21,576,0.78,13573.15,3,0
Femme,Marié,Doctorat,Sans emploi,46,17.6,114094.77,347,0.04,49355.44,1,1
Homme,Divorcé,Bachelier,Sans emploi,35,10.06,10931.6,412,0.43,23598.84,3,1
Homme,Marié,Sans diplôme,CDD,55,32.15,91568.67,743,0.78,22818.53,2,1
Autre,Veuf,Master,Sans emploi,19,6.76,85075.6,744,0.08,39065.81,3,1
Femme,Divorcé,Sans diplôme,Indépendant,35,13.07,56468.8,818,0.69,7823.29,1,1
Femme,Marié,Master,Indépendant,48,7.73,69491.66,380,0.23,12629.2,1,0
Homme,Marié,Secondaire,CDI,52,1.33,57526.11,363,0.13,37394.6,0,1
Homme,Célibataire,Secondaire,CDD,21,23.36,85261.53,755,0.31,19384.31,2,1
Autre,Divorcé,Bachelier,CDD,51,31.2,89333.62,704,0.02,36575.52,0,0
Homme,Divorcé,Master,Indépendant,61,32.71,40979.3,613,0.63,6028.72,3,1
Femme,Divorcé,Master,Sans emploi,43,27.54,103436.23,838,0.33,31566.18,4,1
Autre,Marié,Secondaire,CDD,19,30.51,67177.92,505,0.99,29491.06,1,1
Autre,Marié,Sans diplôme,CDD,52,17.74,102917.34,486,0.1,11518.54,0,0
Femme,Veuf,Sans diplôme,Sans emploi,67,4.57,112521.32,650,0.89,10343.11,1,0
Homme,Célibataire,Bachelier,CDD,57,10.88,64749.61,402,0.5,46766.94,4,0
Homme,Veuf,Secondaire,Sans emploi,58,22.43,93823.68,535,0.12,27725.76,1,1
Femme,Célibataire,Secondaire,CDI,36,37.2,70185.39,809,0.86,7245.52,3,1
Homme,Veuf,Doctorat,CDI,59,27.2,56320.34,657,0.11,11685.1,4,1
Homme,Célibataire,Bachelier,Sans emploi,39,7.39,53064.85,525,0.65,35264.88,2,0
Autre,Veuf,Secondaire,CDI,65,18.58,74178.96,707,0.25,26454.4,0,1
Homme,Marié,Doctorat,Sans emploi,46,33.5,52002.08,368,0.45,31894.83,1,1
Homme,Célibataire,Master,Sans emploi,19,3.87,97458.73,418,0.57,25622.38,3,0
Femme,Divorcé,Doctorat,CDD,59,3.17,32805.87,479,0.92,46648.17,0,1
Femme,Célibataire,Secondaire,Sans emploi,56,37.5,39844.83,594,0.28,42136.19,1,1
Femme,Veuf,Sans diplôme,Sans emploi,30,34.94,69175.3,796,0.39,49106.5,3,1
Femme,Marié,Bachelier,Sans emploi,33,17.15,43035.01,806,0.2,47265.48,4,1
Femme,Célibataire,Master,Sans emploi,46,28.96,87969.22,560,0.34,37791.41,2,1
Femme,Divorcé,Sans diplôme,Sans emploi,43,31.37,68667.06,375,0.13,7363.87,1,0
Autre,Divorcé,Bachelier,Indépendant,68,13.21,19560.9,672,0.55,49959.58,1,1
Homme,Divorcé,Master,Indépendant,40,17.45,93272.9,466,0.56,26299.34,1,1
Autre,Marié,Master,Indépendant,45,34.43,34149.95,791,0.62,7744.87,2,1
Homme,Divorcé,Secondaire,CDI,31,0.53,113807.61,324,0.23,49614.05,1,1
Femme,Célibataire,Doctorat,CDD,51,13.53,58113.49,345,0.43,30666.95,2,1
Homme,Veuf,Sans diplôme,CDI,32,38.83,91331.64,445,0.04,25655.18,2,1
Autre,Veuf,Doctorat,CDI,26,18.33,96410.4,785,0.04,5890.52,4,1
Homme,Célibataire,Secondaire,Indépendant,22,16.22,76954.74,618,0.31,24278.05,0,1
Homme,Veuf,Secondaire,Indépendant,64,1.3,36468.09,390,0.49,13247.18,3,1
Femme,Divorcé,Sans diplôme,CDD,39,29.15,25803.48,709,0.69,37352.7,2,0
Autre,Marié,Master,Sans emploi,63,37.64,90201.91,576,0.76,5354.01,0,1
Femme,Veuf,Bachelier,CDI,46,27.91,37339.77,425,0.4,28986.61,2,0
Femme,Divorcé,Master,CDD,40,26.3,40523.67,816,0.76,6967.23,4,0
Femme,Veuf,Doctorat,Sans emploi,32,37.28,80929.88,507,0.73,37167.35,4,1
Homme,Célibataire,Sans diplôme,CDI,18,6.16,118421.91,614,0.63,47885.88,4,1
Homme,Célibataire,Secondaire,CDD,68,4.16,67824.68,489,0.14,6949.42,4,1
Autre,Veuf,Master,CDI,55,27.42,47459.42,340,0.29,9638.79,0,0
Homme,Veuf,Sans diplôme,CDD,68,2.95,13777.67,630,0.53,28201.68,1,1
Homme,Divorcé,Bachelier,CDI,27,36.35,99789.84,647,0.81,49210.79,3,0
Autre,Veuf,Secondaire,Sans emploi,51,27.39,84274.94,696,0.4,23515.55,2,0
Femme,Marié,Master,CDI,58,31.02,91723.06,720,0.97,32700.78,1,1
Autre,Veuf,Secondaire,Indépendant,58,35.92,24151.79,434,0.67,39274.4,0,1
Autre,Célibataire,Doctorat,CDI,69,3.31,76380.02,412,0.31,46756.4,0,1
Homme,Marié,Bachelier,Sans emploi,25,13.48,24560.34,790,0.56,12965.75,3,1
Autre,Veuf,Bachelier,Indépendant,44,22.17,21290.88,683,0.38,46014.17,3,1
Autre,Divorcé,Bachelier,Sans emploi,47,34.15,91323.23,802,0.91,33189.09,4,1
Homme,Veuf,Doctorat,Sans emploi,68,22.24,98183.82,800,0.05,41252.31,1,1
Autre,Célibataire,Master,CDD,35,22.97,70246.32,787,0.23,18299.99,0,1
Femme,Célibataire,Master,Sans emploi,28,22.92,25478.24,636,0.1,27504.54,1,0
Homme,Célibataire,Master,Sans emploi,61,26.63,92427.71,364,0.81,14403.16,2,1
Femme,Célibataire,Master,Sans emploi,51,28.96,21773.85,514,0.19,43457.19,4,1
Autre,Veuf,Master,Indépendant,19,27.44,74230.47,417,0.74,14206.06,1,1
Femme,Célibataire,Sans diplôme,CDI,56,5.53,90739.85,452,0.56,29674.71,2,1
Femme,Célibataire,Doctorat,Indépendant,37,39.63,88489.2,526,0.83,23806.09,3,1
Homme,Divorcé,Bachelier,Sans emploi,47,34.08,88290.53,811,0.99,7231.53,4,1
Femme,Veuf,Master,Sans emploi,24,18.9,14131.64,586,0.15,23546.64,4,1
Femme,Célibataire,Master,Sans emploi,23,25.74,109252.94,619,0.15,40297.88,2,1
Femme,Célibataire,Bachelier,Indépendant,22,10.69,63046.75,807,0.64,28801.96,4,0
Autre,Divorcé,Bachelier,Sans emploi,20,33.2,25274.76,761,0.04,18715.86,0,0
Homme,Célibataire,Sans diplôme,CDD,58,24.04,64819.04,701,0.82,25043.6,4,1
Femme,Célibataire,Doctorat,Indépendant,58,10.5,64646.49,849,0.38,39841.95,1,0
Femme,Divorcé,Secondaire,CDD,34,33.63,88071.21,766,0.4,35066.92,3,0
Homme,Célibataire,Sans diplôme,CDD,25,3.94,36429.72,575,0.57,9990.65,1,1
Femme,Célibataire,Secondaire,Indépendant,58,10.21,39360.26,622,0.34,28906.1,2,1
Autre,Divorcé,Sans diplôme,Sans emploi,42,13.5,18592.29,707,0.3,13941.29,4,1
Homme,Célibataire,Doctorat,CDI,41,4.97,22489.56,829,0.2,49028.33,3,1
Femme,Divorcé,Doctorat,Sans emploi,40,18.57,56009.21,652,0.72,38238.14,3,0
Autre,Célibataire,Secondaire,CDD,59,30.63,69127.01,845,0.77,8645.04,4,0
Femme,Veuf,Master,Indépendant,24,16.29,108976.42,735,0.61,16170.32,1,0
Autre,Veuf,Master,CDD,32,27.8,87556.45,726,0.24,8515.66,0,1
Femme,Célibataire,Master,Indépendant,69,7.76,119000.32,793,0.69,21654.34,2,1
Autre,Veuf,Secondaire,Sans emploi,57,33.08,75293.57,429,0.16,42020.8,4,1
Femme,Veuf,Master,Sans emploi,42,6.82,113280.79,410,0.88,8004.0,0,0
Autre,Veuf,Bachelier,Indépendant,49,28.05,104045.22,376,0.45,12441.07,4,1
Autre,Divorcé,Bachelier,Sans emploi,38,11.26,13044.45,364,0.48,17035.04,2,1
Autre,Veuf,Doctorat,Sans emploi,36,32.68,97581.27,616,0.2,33083.61,1,1
Autre,Marié,Secondaire,CDI,53,38.59,34555.9,467,0.62,48860.76,1,1
Homme,Divorcé,Master,Indépendant,50,31.08,114313.07,612,0.99,42022.94,2,1
Autre,Marié,Bachelier,CDD,38,2.16,23164.7,522,0.59,14041.69,2,1
Autre,Veuf,Master,Sans emploi,42,1.58,32602.11,707,0.65,36952.83,1,1
Autre,Veuf,Sans diplôme,CDD,50,0.84,43370.16,404,0.29,30037.45,1,1
Autre,Marié,Master,CDI,45,37.41,10340.08,366,0.33,27123.25,4,1
Homme,Célibataire,Doctorat,Sans emploi,62,7.16,11505.08,773,0.2,45877.36,0,1
Femme,Veuf,Sans diplôme,CDD,54,34.17,80214.95,444,0.51,31465.84,4,1
Homme,Divorcé,Secondaire,CDI,36,29.34,16147.25,653,0.15,11174.44,3,1
Autre,Marié,Master,Indépendant,40,27.04,21140.06,415,0.62,12423.55,0,1
Homme,Marié,Master,Indépendant,52,1.88,57691.02,347,0.47,46488.8,0,1
Homme,Veuf,Sans diplôme,Indépendant,49,22.79,93496.47,806,0.62,8609.23,2,0
Autre,Marié,Doctorat,CDI,68,38.93,48751.69,410,0.07,11206.13,4,1
Femme,Marié,Doctorat,Sans emploi,36,25.86,107505.9,322,0.88,34390.12,0,0
Autre,Divorcé,Doctorat,CDD,32,11.57,29507.49,766,0.38,15095.18,0,1
Autre,Célibataire,Secondaire,CDD,25,30.7,34689.68,328,0.21,42174.46,2,0
Femme,Célibataire,Sans diplôme,Indépendant,29,19.41,14822.27,631,0.5,23720.29,1,1
Femme,Marié,Bachelier,CDD,28,4.68,98688.66,722,0.93,26707.99,3,1
Autre,Célibataire,Secondaire,CDI,56,35.05,94404.89,373,0.69,10788.72,1,1
Femme,Marié,Doctorat,Sans emploi,59,32.18,112068.34,699,0.34,6267.36,0,0
Autre,Célibataire,Doctorat,Sans emploi,40,1.07,104278.24,472,0.3,39165.63,3,1
Femme,Célibataire,Master,CDI,18,1.63,10671.05,696,0.66,8329.54,1,1
Autre,Divorcé,Secondaire,Sans emploi,52,7.55,79793.42,539,0.09,33807.16,1,0
Homme,Marié,Sans diplôme,CDI,35,34.52,33473.94,379,0.37,29188.92,4,1
Femme,Divorcé,Doctorat,CDI,60,7.78,16218.1,594,0.48,28332.07,4,0
Femme,Veuf,Bachelier,CDD,24,36.87,117788.06,691,0.76,18485.83,3,0
Autre,Célibataire,Master,CDI,21,20.43,42531.43,831,0.33,39021.29,3,0
Autre,Veuf,Sans diplôme,CDD,58,11.49,58203.72,690,0.79,23027.61,0,1
Homme,Marié,Sans diplôme,Sans emploi,45,5.0,62038.27,437,0.78,11806.46,4,1
Autre,Marié,Sans diplôme,Indépendant,30,23.2,116988.17,326,0.02,7521.94,2,1
Femme,Marié,Master,Sans emploi,57,35.86,64560.68,448,0.19,20414.66,0,0
Autre,Veuf,Bachelier,CDD,39,24.81,89875.84,658,0.65,32362.47,2,1
Homme,Veuf,Doctorat,CDI,43,17.37,39769.68,848,0.5,14914.49,4,0
Femme,Marié,Master,Sans emploi,18,25.0,71563.51,459,0.03,38399.22,1,1
Autre,Marié,Master,CDD,61,29.39,66281.69,597,0.36,9892.66,1,1
Homme,Veuf,Bachelier,Sans emploi,52,9.57,20001.04,512,0.63,26238.41,0,1
Autre,Marié,Sans diplôme,Indépendant,19,10.8,104692.6,716,0.99,29151.69,3,1
Femme,Célibataire,Doctorat,Indépendant,66,35.69,26900.38,775,0.21,41945.54,4,1
Autre,Marié,Secondaire,Sans emploi,61,31.23,57701.15,760,0.15,10307.65,2,1
Femme,Célibataire,Sans diplôme,Indépendant,55,29.06,110028.55,459,0.36,5075.37,2,1
Homme,Divorcé,Sans diplôme,CDD,64,26.82,76294.88,347,0.55,29016.94,0,0
Homme,Veuf,Bachelier,CDI,61,20.77,52358.77,543,0.66,11782.63,0,0
Femme,Célibataire,Secondaire,CDI,43,14.5,96993.2,848,0.36,30726.2,4,0
Homme,Veuf,Doctorat,Sans emploi,41,15.67,17276.03,451,0.23,6480.63,1,1
Autre,Veuf,Doctorat,Sans emploi,60,3.17,93649.52,582,0.01,27080.38,0,1
Homme,Divorcé,Doctorat,CDD,69,35.45,105107.83,607,0.18,22583.3,4,1
Femme,Marié,Bachelier,CDI,22,0.84,95526.83,811,0.1,12031.13,1,0
Autre,Célibataire,Secondaire,CDI,25,33.79,41509.1,417,0.24,26053.13,3,1
Homme,Célibataire,Secondaire,CDD,47,18.22,47434.89,419,0.32,26472.62,3,0
Autre,Célibataire,Sans diplôme,Indépendant,19,7.37,102082.25,672,0.08,8054.66,3,1
Homme,Divorcé,Master,CDI,41,24.92,34875.76,379,0.41,35460.85,2,0
Homme,Marié,Secondaire,Sans emploi,41,20.53,69168.29,688,0.17,46116.5,3,1
Femme,Veuf,Doctorat,Indépendant,42,25.63,71475.6,765,0.58,32604.92,4,1
Homme,Veuf,Doctorat,CDI,43,14.63,99356.15,456,0.38,33223.61,0,0
Femme,Célibataire,Master,Indépendant,23,31.94,11774.52,739,0.64,38678.14,1,0
Homme,Veuf,Master,Indépendant,40,17.13,119988.7,403,0.78,47123.18,4,1
Autre,Divorcé,Sans diplôme,CDI,67,15.54,25415.4,618,0.08,49211.47,1,1
Homme,Célibataire,Sans diplôme,CDI,34,25.06,49167.29,538,0.38,27170.82,0,1
Autre,Célibataire,Bachelier,CDD,49,33.44,83780.67,763,0.98,47525.35,2,1
Femme,Célibataire,Doctorat,Sans emploi,66,3.51,12143.66,526,0.0,21165.92,0,1
Homme,Célibataire,Bachelier,CDI,18,17.5,64494.81,626,0.46,37744.02,0,1
Autre,Divorcé,Doctorat,CDI,68,18.92,11454.53,463,0.47,47155.81,0,1
Homme,Veuf,Bachelier,Sans emploi,21,21.28,37961.09,692,0.82,5730.47,1,0
Autre,Marié,Sans diplôme,CDD,51,13.04,111147.42,505,0.29,46424.45,0,0
Homme,Marié,Secondaire,Indépendant,49,7.35,43945.47,699,0.78,44827.26,4,1
